Symbol,AvgRSI2,Hist,Ubb,Close,Lbb,Sma5,Sma200,Sma20
RADICO,40.76057247,0.647373441,99.50316562,90.1,79.81183438,88.6,124.887,89.6575
DBSTOCKBRO,40.81651746,0.105769547,65.63787409,65.45,65.23212591,65.48,80.0605,65.435
MUTHOOTFIN,40.89314743,-0.271242464,200.3925762,189,176.9024238,190.64,161.93025,188.6475
UTTAMVALUE,41.39499705,-0.020271288,8.132150495,7.45,7.262849505,7.41,7.19425,7.6975
MCLEODRUSS,41.59286415,0.074140232,305.9975412,290.2,270.7774588,292.21,286.3535,288.3875
CERA,41.60070117,-13.63551525,1792.370303,1685.15,1546.624697,1697.47,1031.02125,1669.4975
AARTIIND,41.63405996,-1.54945908,311.660289,293.05,256.624711,296.09,152.94425,284.1425
INNOIND,41.65044342,-0.055832501,18.31057074,14,12.62942926,13.84,16.394,15.47
REPCOHOME,41.98228003,0.645968714,460.6964029,446.9,421.6735971,445.58,377.08,441.185
REPCOHOME,41.98228003,0.645968714,460.6964029,446.9,421.6735971,445.58,377.08,441.185
IMPEXFERRO,42.14371805,-0.114859958,7.207103388,5.25,4.842896612,5.18,4.9145,6.025
EIHOTEL,42.37274484,0.158397225,112.5511941,103.5,87.35880592,104.29,75.7195,99.955
KGL,42.39798861,0.036912215,1.888532481,1.7,1.376467519,1.77,1.54525,1.6325
ICIL,42.40506316,-2.491566342,157.6559992,137.4,132.9690008,140.18,68.527,145.3125
SARDAEN,42.44175779,-6.410123209,402.3771129,284.85,244.1478871,286.36,176.01375,323.2625
EVERONN,42.44202229,0.342016597,43.16965765,39.75,36.92534235,39.57,43.027,40.0475
RAJTV,42.4635518,0.008003867,134.1118045,129.7,124.0931955,130.14,300.01625,129.1025
CAREERP,42.63273703,-0.344642004,117.9592071,97.05,90.05079294,96.01,99.20825,104.005
LOKESHMACH,42.80958915,0.393077266,39.9360006,37.7,31.0139994,38.24,27.39625,35.475
TORNTPHARM,42.85993894,3.292002337,907.0467551,864.1,715.0132449,869.36,602.688,811.03
NDL,42.91154151,-0.11208596,50.29290037,46.95,42.67709963,46.85,36.36225,46.485
ZENITHBIR,42.91311584,-0.00357826,1.424308145,1.25,1.130691855,1.18,1.279,1.2775
BALRAMCHIN,43.00015378,-0.131093284,72.71851332,64.45,64.63148668,66.29,59.399,68.675
REDINGTON,43.0337027,0.255041648,109.11731,104.35,93.89269002,104.94,83.3275,101.505
PARSVNATH,43.13499904,0.187005182,26.51537721,23.8,22.65962279,24.13,26.8925,24.5875
IDFC,43.15683525,-0.333815576,152.3349186,144.9,139.4850814,143.16,120.9965,145.91
IDFC,43.15683525,-0.333815576,152.3349186,144.9,139.4850814,143.16,120.9965,145.91
GOLDINFRA,43.18982886,0.137058674,12.10849145,11.65,9.751508547,11.79,9.731,10.93
HDIL,43.19158411,0.143127695,99.36659779,94.9,88.93840221,94.86,70.23325,94.1525
HMT,43.42298383,0.044639573,45.33002871,41.85,40.41497129,42.03,35.47925,42.8725
KAMATHOTEL,43.43650909,0.672109511,86.11344872,81.95,71.02155128,82.48,67.22925,78.5675
WHIRLPOOL,43.56125294,-4.680098065,504.2681337,451.05,393.5568663,455.97,264.762,448.9125
MANDHANA,43.57997771,0.118766973,236.0884502,233.8,231.8765498,234,233.848,233.9825
PFIZER,43.6780772,3.375757883,1498.802148,1436.25,1316.277852,1453.74,1261.52625,1407.54
IBSEC,43.8265017,0.070849186,24.63332209,23.95,23.40167791,23.97,22.0195,24.0175
GLODYNE,43.96481275,-0.063721567,6.444171589,4.35,3.800828411,4.26,7.2445,5.1225
TULIP,43.97798471,-0.015443896,4.758615856,3.95,3.501384144,4.09,5.323,4.13
TNPL,44.39449391,-0.500746337,169.05703,160.15,154.96297,158.43,138.29175,162.01
RAYMOND,44.39773741,1.557155634,496.0129448,464.75,395.1520552,469.63,334.1955,445.5825
GLOBOFFS,44.40620282,-5.746030673,543.697724,452.75,425.432276,460.9,278.945,484.565
MYSOREBANK,44.4383347,0.10022885,541.7922492,514.2,502.9077508,515.9,461.77,522.35
TINPLATE,44.51040007,0.524567402,80.9357562,78.05,70.1692438,78.56,59.36025,75.5525
ATUL,44.51596911,-10.39842719,1491.257481,1349.15,1160.392519,1355.95,700.6175,1325.825
INDIANB,44.5160214,0.831375164,154.0975285,144.95,133.6174715,144.99,130.237,143.8575
KOLTEPATIL,44.60706582,-0.186307774,189.5541834,176.95,151.1258166,176.29,114.18625,170.34
GVKPIL,44.77206072,0.076428704,14.03572336,12.95,12.43427664,12.98,12.466,13.235
AKSHOPTFBR,44.8473187,0.175297452,23.48639992,20.85,15.12360008,20.47,18.00625,19.305
RAJRAYON,44.89023587,-1.72E-04,0.524582039,0.4,0.390417961,0.44,0.4395,0.4575
NAGAROIL,44.95545873,0.102603488,6.166716501,5.45,3.573283499,5.54,4.38625,4.87
INDOWIND,45.07160014,-0.024818635,5.477254582,4.4,3.997745418,4.22,4.34025,4.7375
PETRONENGG,45.07407126,0.806367907,145.6081605,120,109.8568395,123.21,121.45375,127.7325
SHASUNPHAR,45.12620092,-0.547165092,238.6411177,205.95,158.3288823,211.48,118.46875,198.485
JINDRILL,45.41090301,0.573210916,246.9965554,232.25,218.8934446,230.71,212.6755,232.945
IVRCLINFRA,45.57279656,0.193069813,19.99473926,18.9,17.71026074,18.76,17.61825,18.8525
GODREJPROP,45.77498286,1.445338616,242.449286,234.3,215.995714,237.15,202.51475,229.2225
20MICRONS,45.88088862,0.054634234,34.07634676,31.9,29.78865324,32.09,32.29925,31.9325
PFRL,46.15566739,0.412866107,116.5491689,113.1,108.9508311,112.98,103.18825,112.75
ADHUNIK,46.15932718,-0.05447985,48.89388181,42.25,40.07111819,42.55,40.60425,44.4825
VAIBHAVGBL,46.17737175,-1.564552807,901.1171129,883.55,848.2378871,882.51,718.293,874.6775
JAGRAN,46.18443796,0.86964948,128.4310144,124.35,110.1389856,124.5,103.49425,119.285
DICIND,46.21167204,0.572123873,476.8914003,462,441.7585997,465.63,407.2725,459.325
MSPL,46.3627942,-0.170461975,27.79029159,23.85,22.09970841,23.3,20.3825,24.945
TBZ,46.52602666,0.821007512,164.7248675,151.95,139.3451325,152.2,149.351,152.035
NESCO,46.59553663,-10.16706584,1319.613427,1232.5,1223.716573,1248.43,938.1435,1271.665
WYETH,46.74632449,2.887734141,1023.043874,987.15,898.9611261,995.5,846.30725,961.0025
TATAELXSI,46.83561361,1.196325602,635.8051479,617.2,575.7298521,620.8,506.73875,605.7675
EDUCOMP,46.86265501,0.361006388,33.88569926,32.25,28.01930074,32.32,28.71325,30.9525
ULTRACEMCO,47.08066912,4.74097877,2760.727341,2694.9,2539.832659,2701.49,2162.866,2650.28
FEDERALBNK,47.11015195,0.530698203,129.4406479,124,112.7643521,125.12,99.563,121.1025
DENABANK,47.24262127,0.441775865,63.40916409,59.65,58.04083591,59.83,64.44725,60.725
CCCL,47.28449234,0.081834819,7.050198156,6.7,5.429801844,6.6,4.92975,6.24
NITINSPIN,47.32054384,0.030479688,28.43722316,26.1,21.72277684,26.24,18.389,25.08
KWALITY,47.34701394,-0.02779923,50.72592961,47.25,44.09907039,46.48,37.76975,47.4125
JISLDVREQS,47.53076057,0.120631983,73.25245072,69.6,64.36754928,69.45,45.88625,68.81
RANBAXY,47.71986138,-1.662681967,686.901791,652.85,582.528209,654.87,460.98925,634.715
KAJARIACER,47.72506407,0.166050523,700.1365696,669,590.8084304,671.91,433.54325,645.4725
MANINDS,47.75851796,0.152776178,68.60265334,60.95,59.18734666,61.95,64.429,63.895
ECEIND,47.80956558,0.362386404,122.5007044,112.45,100.5042956,116.08,98.0105,111.5025
BAJAJFINSV,48.01767893,6.524558314,1163.169467,1075.85,868.2105327,1094.63,819.76775,1015.69
SINTEX,48.09666459,0.755230368,82.27664038,78.15,70.63835962,78.46,57.9065,76.4575
UBHOLDINGS,48.1278561,-0.021030707,40.47983459,30.5,26.71016541,30.65,32.72125,33.595
DPSCLTD,48.12994176,-0.251950116,25.36444058,21.1,19.03555942,21.08,16.20675,22.2
SWANENERGY,48.16520761,0.096282006,60.60889744,59.5,58.82110256,59.58,78.9715,59.715
HIKAL,48.35805761,6.252648666,634.4310138,615.35,527.6689862,621.23,507.6955,581.05
ABGSHIP,48.447991,1.772141155,253.5271846,257.4,217.7628154,234.3,258.564,235.645
SRTRANSFIN,48.56239693,4.688146547,1001.813398,976.05,871.661602,977.29,760.14475,936.7375
GALLANTT,48.66991024,-0.220390195,25.27155922,22.5,21.89344078,22.72,20.14275,23.5825
STOREONE,48.70211904,-0.871004459,71.3218593,60.4,55.5831407,59.72,37.439,63.4525
NMDC,48.74529537,1.103135883,184.9343247,180.7,166.4256753,181.72,154.7755,175.68
ARSHIYA,48.7832705,-0.061608529,25.72876874,21,20.16123126,21.59,20.445,22.945
BASF,48.85914888,4.400609318,1412.562165,1218.3,814.2928349,1246.87,775.1485,1113.4275
BALAMINES,48.868758,-0.019969538,100.7954618,90.6,71.05953815,92.02,53.462,85.9275
SUNPHARMA,48.98757729,-3.258782768,895.2062132,859.3,795.5587868,862.01,645.99875,845.3825
PCJEWELLER,49.06025232,0.409307527,205.9814581,180.45,120.3835419,180.78,106.50925,163.1825
RALLIS,49.22686797,0.233590703,250.8233526,237.5,213.1516474,241.28,187.882,231.9875
KIRLOSENG,49.29697689,1.196010109,255.1746057,248,231.1303943,248.83,204.6275,243.1525
BATAINDIA,49.36084109,7.06558082,1362.131737,1312.6,1176.153263,1327.71,1120.28625,1269.1425
EXCELCROP,49.60265691,16.94626713,1194.021344,1107.95,710.6286561,1121.29,575.65875,952.325
JPINFRATEC,49.66270293,-0.541127054,37.33478495,28.7,27.10021505,28.36,25.978,32.2175
PFC,49.70215182,0.943459457,276.6656111,259.6,249.5743889,262.8,214.7955,263.12
CONCOR,49.89149511,-6.705517062,1356.13831,1285.6,1265.87169,1285.22,984.51375,1311.005
CONCOR,49.89149511,-6.705517062,1356.13831,1285.6,1265.87169,1285.22,984.51375,1311.005
SSWL,49.91087807,1.03390463,304.8238895,293.55,264.3311105,294.56,181.479,284.5775
3IINFOTECH,49.94785514,0.062032864,9.149735285,9.1,8.260264715,8.69,8.2405,8.705
WELCORP,50.01389876,0.939284232,79.79233362,76.1,67.01266638,75.99,71.221,73.4025
CENTRALBK,50.06107946,0.014937456,67.93391552,64.05,61.67108448,63.11,58.28175,64.8025
MANGCHEFER,50.073236,0.031959348,70.6729212,68.7,67.8070788,68.87,64.9395,69.24
RAMCOSYS,50.19834516,-0.911164641,555.5694637,489.7,340.6655363,503.67,219.4575,448.1175
HOTELEELA,50.43120492,0.156028104,25.90447467,24.6,21.84052533,24.5,19.69525,23.8725
GANESHHOUC,50.44227927,0.968859283,179.5556792,165.95,148.3693208,167.67,117.95025,163.9625
GUJAPOLLO,50.4725636,0.480322544,126.4436618,124.2,120.1963382,123.81,116.17925,123.32
ICICIBANK,50.51303384,-1.359278938,1618.547457,1570.1,1460.252543,1560.47,1267.9675,1539.4
KOPRAN,50.54939229,0.09632566,72.44355798,64.1,44.83144202,64.37,33.75675,58.6375
BEL,50.71803529,15.21777616,2211.52224,2045.3,1637.99276,2052.39,1374.61125,1924.7575
RUCHINFRA,50.77434681,0.032418381,14.08127569,13.2,12.73372431,13.19,13.87075,13.4075
JUBLINDS,50.78844607,0.241686588,94.80601361,89.25,84.02898639,88.85,73.6275,89.4175
AFTEK,50.79373431,0.049279308,6.44999729,5.9,5.11500271,5.7,4.92075,5.7825
JSWENERGY,50.80657393,0.263178575,82.25609708,80.3,73.71890292,80.23,62.6285,77.9875
LT,50.93390416,11.69514293,1642.663102,1585.1,1448.116898,1604.46,1320.735,1545.39
VALECHAENG,50.9722318,0.072054222,73.677994,67.55,62.147006,65.57,51.116,67.9125
VISASTEEL,51.04836497,0.070342786,21.06928948,18.5,16.96071052,18.24,19.08625,19.015
KSL,51.12632986,-0.065075355,111.6970818,105.25,97.12791823,106.02,73.459,104.4125
INFY,51.16073813,-0.805479664,3773.272053,3667.3,3493.057947,3724.9,3405.64875,3633.165
SAKHTISUG,51.19246363,0.09918717,19.85817215,19.25,18.71182785,19.07,18.4035,19.285
ORIENTCEM,51.26892761,-0.120757401,129.1344619,123.85,111.4505381,125.06,66.29725,120.2925
NEHAINT,51.31227568,-0.041627868,14.4649726,12.25,10.0950274,12.03,12.77,12.28
BSLIMITED,51.54182117,-0.18693728,34.7088448,26.95,24.0661552,26.44,43.2615,29.3875
GMRINFRA,51.57867197,0.060512837,26.91072113,25.05,24.12927887,24.95,25.40275,25.52
